DateTime,AddedIPs,RemovedIPs
1513971181,0,1
1513978381,1,2
1513999982,0,1
1514010781,1,0
1514035981,1,0
1514039581,0,1
1514043181,2,0
1514046781,0,1
1514050381,1,0
1514064782,0,1
1514075581,0,1
1514093581,1,0
1514097181,0,1
1514104382,0,1
1514107981,1,0
1514125981,1,0
1514140381,1,0
1514143981,0,1
1514147581,3,0
1514172781,3,0
1514183582,1,0
1514194382,1,0
1514197981,0,1
1514201581,2,0
1514212381,1,0
1514215981,0,1
1514219581,0,1
1514226781,1,0
1514244781,1,0
1514248381,0,1
1514255581,0,1
1514259182,1,1
1514266381,3,0
1514269982,1,0
1514273581,0,2
1514287981,1,0
1514291581,1,0
1514295181,0,1
1514298781,3,0
1514302382,1,0
1514309581,1,0
1514323982,1,0
1514359981,0,1
1514367181,0,1
1514377981,1,1
1514399581,1,0
1514403181,1,0
1514406782,0,1
1514439181,0,1
1514446381,1,0
1514457181,1,0
1514460781,0,2
1514475181,0,2
1514482381,0,2
1514489581,0,3
1514507581,0,1
1514518381,1,0
1514536381,1,0
1514543581,0,1
1514547181,0,1
1514565182,0,1
1514572382,3,0
1514579581,2,0
1514583181,1,0
1514590381,1,0
1514601181,1,1
1514622781,2,0
1514626382,0,1
1514629981,0,1
1514633581,0,1
1514637181,1,0
1514662381,1,0
1514665981,0,1
1514669581,1,0
1514683981,1,0
1514687581,0,1
1514694781,1,0
1514701981,2,0
1514705581,1,0
1514712781,1,1
1514719981,0,2
1514723581,4,0
1514727181,3,0
1514734381,1,0
1514737981,1,0
1514741581,0,2
1514745181,2,0
1514777581,0,3
1514802782,1,0
1514813581,2,0
1514831581,1,1
1514835182,0,1
1514849581,0,1
1514853182,4,0
1514856781,1,0
1514874781,1,0
1514889181,1,0
1514896381,0,1
1514899981,1,0
1514910782,1,0
1514914381,0,1
1514921581,1,0
1514928781,0,1
1514950381,0,1
1514964781,0,1
1514968381,0,1
1514979182,0,1
1515000781,1,3
1515015181,1,0
1515029581,1,1
1515044429,2,0
1515058381,1,0
1515061981,2,0
1515087181,1,2
1515109229,0,2
1515141181,0,2
1515169982,3,0
1515180781,3,0
1515184382,1,0
1515191581,1,0
1515195181,1,0
1515227582,1,0
1515238381,0,1
1515263581,0,1
1515288781,2,2
1515299581,0,1
1515306781,0,1
1515331981,0,1
1515342782,0,1
1515349981,0,1
1515364381,1,1
1515389581,1,0
1515403981,2,0
1515432781,0,1
1515439981,1,0
1515450781,0,1
1515465181,0,2
1515472381,1,0
1515497582,0,1
1515511981,1,0
1515529981,1,1
1515540781,1,0
1515573182,0,1
1515580382,1,0
1515583981,0,2
1515598382,0,1
1515609181,0,1
1515619981,2,0
1515630781,0,1
1515641581,0,1
1515652381,1,0
1515655981,9,0
1515659581,3,1
1515663181,1,0
1515684781,0,1
1515691981,0,1
1515706381,0,2
1515709981,1,0
1515713581,0,1
1515717181,1,0
1515720781,1,0
1515735181,0,1
1515760381,0,1
1515778381,1,0
1515785581,0,1
1515792782,1,0
1515814381,0,1
1515825181,0,1
1515835982,0,1
1515843182,0,1
1515850381,0,1
1515868381,1,2
1515889981,1,0
1515900781,0,1
1515904381,1,0
1515911582,0,3
1515915181,0,1
1515918781,1,0
1515925981,0,1
1515929581,1,0
1515936781,0,1
1515940381,1,0
1515954782,1,1
1515972781,0,1
1515979981,0,1
1515994381,0,1
1515997981,1,1
1516012382,2,0
1516019581,2,0
1516026781,1,1
1516030381,0,1
1516033981,1,0
1516048381,0,1
1516059181,0,2
1516080781,0,2
1516105982,0,1
1516109581,0,1
1516134781,1,0
1516149181,2,0
1516152782,8,0
1516156381,3,0
1516159981,0,1
1516163581,7,0
1516167181,1,0
1516174381,2,0
1516177982,1,0
1516181581,0,2
1516185181,1,0
1516188781,2,0
1516192381,0,2
1516195981,1,0
1516213981,0,1
1516239181,0,2
1516249981,0,2
1516253581,1,0
1516257181,1,1
1516264381,2,0
1516275181,0,1
1516282381,1,1
1516285981,0,2
1516296781,0,1
1516300381,0,1
1516314782,0,1
1516318382,1,0
1516321981,0,1
1516343581,2,0
1516350782,1,1
1516365181,0,2
1516386781,0,2
1516390382,0,1
1516397581,0,1
1516411981,1,1
1516415581,1,0
1516433581,1,0
1516437182,0,1
1516444826,0,1
1516455181,0,1
1516458781,1,0
1516473181,0,1
1516505581,0,1
1516512781,0,1
1516516381,1,0
1516523581,0,1
1516534381,1,0
1516548781,0,1
1516555981,1,0
1516573981,1,1
1516588381,2,0
1516599181,1,0
1516613582,0,2
1516620781,1,0
1516627981,1,0
1516638782,2,0
1516642381,1,0
1516656781,1,0
1516663982,1,1
1516667581,1,0
1516674782,0,1
1516678381,1,0
1516721582,0,1
1516743182,1,0
1516753982,0,2
1516761181,0,1
1516764781,0,1
1516768381,1,0
1516771981,1,1
1516779181,2,0
1516782781,1,0
1516786381,0,1
1516789981,0,4
